service_name,span_kind,operation_name
general-service,,error
general-service,client,POST
general-service,server,createLedgerCode
general-service,server,createAccountingLedger
general-service,server,createuser
general-service,server,getPermission
general-service,server,getRole
registery-service,server,DELETE
registery-service,server,GET
registery-service,server,POST
registery-service,server,PUT
config-service,server,defaultLabelIncludeOrigin
auth-service,server,POST
auth-service,server,my span-login
general-service,,error
general-service,client,GET
general-service,client,POST
general-service,server,POST
general-service,server,createAccountingLedger
general-service,server,createUser
general-service,server,getToken
report-service,,error
report-service,server,createAccountingLedger
report-service,server,createLedgerCode
report-service,server,createuser
zull-service,server,GET
zull-service,server,POST
zull-service,server,error
